Month,Sale date,GM,GE ,Oracle,Microsoft,DJIA
1,01-Jun-97,-0.869953156,10.49753964,21.13459399,2.776859504,4.485356512
2,01-Jul-97,1.710171017,9.648688768,-0.918273646,0.450305564,5.939171948
3,01-Aug-97,14.31171786,5.415162455,13.06765524,12.58405379,6.108389566
4,01-Sep-97,-2.627388535,-9.505208333,4.180327869,-6.001137656,-6.976046004
5,01-Oct-97,10.83401472,9.592326139,-5.586152636,1.270801815,5.15689243
6,01-Nov-97,-1.208231074,-0.700218818,-0.333333333,0.179265013,-4.255629717
7,01-Dec-97,-8.006879419,10.23692445,-11.12040134,7.217417238,4.413640693
8,01-Jan-98,6.896551724,-0.811030008,-30.00940734,-10.12517385,-1.308605523
9,01-Feb-98,-0.418243378,8.503679477,10.34946237,19.83905911,2.52306136
10,01-Mar-98,17.14,-2.521008403,-2.070645554,7.592975207,5.459817607
11,01-Apr-98,-2.117124808,12.89184953,30.09950249,8.473355737,3.717582116
12,01-May-98,1.760057471,-0.416522041,-18.54684512,-0.840894003,3.14321089
13,01-Jun-98,3.741616661,-2.506177197,-10.79812207,-6.561035483,-2.45652433
14,01-Jul-98,-0.884654644,10.02896452,5.526315789,30.61858132,1.41554318
15,01-Aug-98,3.83324501,-0.658111221,10.72319202,-0.859389285,-2.89467955
16,01-Sep-98,-17.04661449,-7.609788803,-22.86036036,-6.639616378,-10.91770099
17,01-Oct-98,-4.778506973,-8.635703919,31.38686131,2.785460292,-2.489961584
18,01-Nov-98,20.29924073,17.07704527,10.88888889,1.691331924,14.06637118
19,01-Dec-98,10.07982179,4.292582418,23.34669339,22.37762238,4.909058539
20,01-Jan-99,2.512647555,11.95258479,16.81559708,7.088803089,0.524331201
21,01-Feb-99,30.48698005,1.411764706,37.06536857,24.70435535,1.789154848
22,01-Mar-99,-10.97576779,-1.233118027,-7.102993404,-12.25858679,-0.223846261
23,01-Apr-99,5.181950509,10.58263971,-29.49208083,22.16950046,5.444954197
24,01-May-99,9.729500071,-4.247311828,0.929512006,-13.82026109,12.02317618
25,01-Jun-99,-8.763551884,-2.897727273,-2.148887183,-1.727591387,-3.798835918
26,01-Jul-99,-1.994624416,8.718548859,48.07843137,16.1656051,4.437037219
27,01-Aug-99,-8.502144019,-2.125941873,0.953389831,-6.996381182,-3.799422035
28,01-Sep-99,7.967032967,5.396383866,-1.154249738,8.925834218,2.742073049
29,01-Oct-99,-4.355635384,3.246239113,20.11677282,-2.597964927,-6.078691666
30,01-Nov-99,10.44176707,11.29856851,13.07998232,2.667259391,3.655407379
31,01-Dec-99,5.367272727,4.012059369,38.10082063,0.876813163,3.285620913
32,01-Jan-00,5.300938708,11.46042363,67.11941143,25.07779805,3.265296102
33,01-Feb-00,14.23020233,-8.341668334,-8.567558415,-11.68496911,-2.786435771
34,01-Mar-00,-12.90322581,-3.397308626,32.40740741,-11.78356324,-8.179747397
35,01-Apr-00,16.44444444,20.82667276,7.524475524,0.077084022,10.69252864
36,01-May-00,9.291357151,1.323001323,3.655046826,-19.19014085,-3.654811298
37,01-Jun-00,-24.68443198,-1.393072289,-2.271301293,-12.09150327,-1.475982678
